Nama Lengkap,ASAL SMA,PILIHAN 1,,PILIHAN 2,,PILIHAN 3,,NILAI UTBK 1,,NILAI UTBK 2,,
Anuj Ralhan,SMA Santo Carolus,UNIVERSITAS SYIAH KUALA,ILMU KELAUTAN,UNIVERSITAS SYIAH KUALA,ILMU KELAUTAN,UNIVERSITAS SYIAH KUALA,ILMU KELAUTAN,595.0,404.0,822.0,420.0,
Adji Muljo Teguh,SMA Suluh,UNIVERSITAS SYIAH KUALA,BUDIDAYA PERAIRAN,UNIVERSITAS SYIAH KUALA,BUDIDAYA PERAIRAN,UNIVERSITAS SYIAH KUALA,BUDIDAYA PERAIRAN,253.0,491.0,306.0,616.0,
Sandi Gunawan Ho,SMAI Nahdhatul Wathan,UNIVERSITAS SYIAH KUALA,TEKNIK INDUSTRI,UNIVERSITAS SYIAH KUALA,TEKNIK INDUSTRI,UNIVERSITAS SYIAH KUALA,TEKNIK INDUSTRI,347.0,743.0,698.0,730.0,
Muhamad Daris Al Husna,SMAK 7 PENABUR Cipinang Indah,UNIVERSITAS SYIAH KUALA,INFORMATIKA,UNIVERSITAS SYIAH KUALA,INFORMATIKA,UNIVERSITAS SYIAH KUALA,INFORMATIKA,706.0,190.0,113.0,202.0,
Lie Tjin Ming,SMA Kosgoro,UNIVERSITAS SYIAH KUALA,FARMASI,UNIVERSITAS SYIAH KUALA,FARMASI,UNIVERSITAS SYIAH KUALA,FARMASI,155.0,523.0,283.0,183.0,
Markun,SMA Muhammadiyah 1 Jombang,UNIVERSITAS SYIAH KUALA,TEKNIK GEOFISIKA,UNIVERSITAS SYIAH KUALA,TEKNIK GEOFISIKA,UNIVERSITAS SYIAH KUALA,TEKNIK GEOFISIKA,727.0,663.0,452.0,357.0,
Garibaldi Thohir,MAN 1 Majenang,UNIVERSITAS SYIAH KUALA,TEKNIK PERTAMBANGAN,UNIVERSITAS SYIAH KUALA,TEKNIK PERTAMBANGAN,UNIVERSITAS SYIAH KUALA,TEKNIK PERTAMBANGAN,409.0,542.0,374.0,181.0,
Ie Mila Setiawaty,SMA Negeri Banyumas,UNIVERSITAS SYIAH KUALA,STATISTIKA,UNIVERSITAS SYIAH KUALA,STATISTIKA,UNIVERSITAS SYIAH KUALA,STATISTIKA,340.0,306.0,359.0,105.0,
Marcellus Charles Colondam,SMA Bina Pangudi Luhur,UNIVERSITAS SYIAH KUALA,PEMANFAATAN SUMBERDAYA PERIKANAN,UNIVERSITAS SYIAH KUALA,PEMANFAATAN SUMBERDAYA PERIKANAN,UNIVERSITAS SYIAH KUALA,PEMANFAATAN SUMBERDAYA PERIKANAN,437.0,364.0,140.0,365.0,
Aziar Zain,SMA Muhammadiyah 4,UNIVERSITAS SYIAH KUALA,ILMU TANAH,UNIVERSITAS SYIAH KUALA,ILMU TANAH,UNIVERSITAS SYIAH KUALA,ILMU TANAH,313.0,145.0,804.0,291.0,
Belva Oyko Noer Wijayanti,SMAN 1 Cirebon,UNIVERSITAS SYIAH KUALA,TEKNIK GEOLOGI,UNIVERSITAS SYIAH KUALA,TEKNIK GEOLOGI,UNIVERSITAS SYIAH KUALA,TEKNIK GEOLOGI,293.0,835.0,896.0,596.0,
Safira Az-Zahra Pramaishma Murdaningrum,SMA Nurul Amal Palembang,UNIVERSITAS SYIAH KUALA,AGROTEKNOLOGI (PSDKU GAYO LUES),UNIVERSITAS SYIAH KUALA,AGROTEKNOLOGI (PSDKU GAYO LUES),UNIVERSITAS SYIAH KUALA,AGROTEKNOLOGI (PSDKU GAYO LUES),707.0,425.0,346.0,128.0,
Romo Nittyyudo Wacho,SMA Muhammadiyah 1,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BIOLOGI (PDSKU GAYO LUES),UNIVERSITAS SYIAH KUALA,PENDIDIKAN BIOLOGI (PDSKU GAYO LUES),UNIVERSITAS SYIAH KUALA,PENDIDIKAN BIOLOGI (PDSKU GAYO LUES),771.0,122.0,345.0,788.0,
Jimmy Budiarto,SMA Negeri 4 Cilegon,UNIVERSITAS SYIAH KUALA,KEHUTANAN (PSDKU GAYO LUES),UNIVERSITAS SYIAH KUALA,KEHUTANAN (PSDKU GAYO LUES),UNIVERSITAS SYIAH KUALA,KEHUTANAN (PSDKU GAYO LUES),820.0,224.0,609.0,698.0,
Safersa Yusana Sertana,SMA Negeri 1 Nguter,UNIVERSITAS SYIAH KUALA,PROTEKSI TANAMAN,UNIVERSITAS SYIAH KUALA,PROTEKSI TANAMAN,UNIVERSITAS SYIAH KUALA,PROTEKSI TANAMAN,515.0,156.0,552.0,667.0,
Bambang Tijoso Tedjokusumo,SMA Pancasila Purworejo,UNIVERSITAS SYIAH KUALA,PERENCANAAN WILAYAH DAN KOTA,UNIVERSITAS SYIAH KUALA,PERENCANAAN WILAYAH DAN KOTA,UNIVERSITAS SYIAH KUALA,PERENCANAAN WILAYAH DAN KOTA,808.0,310.0,813.0,629.0,
Amalia,SMA Pasundan 8,UNIVERSITAS SYIAH KUALA,KEHUTANAN,UNIVERSITAS SYIAH KUALA,KEHUTANAN,UNIVERSITAS SYIAH KUALA,KEHUTANAN,273.0,749.0,798.0,100.0,
Dherika,SMA Negeri 1 Cilacap,UNIVERSITAS SYIAH KUALA,TEKNIK KOMPUTER,UNIVERSITAS SYIAH KUALA,TEKNIK KOMPUTER,UNIVERSITAS SYIAH KUALA,TEKNIK KOMPUTER,847.0,381.0,621.0,709.0,
Ago Harlim,SMA Negeri 2 Bae Kudus(SSN),UNIVERSITAS SYIAH KUALA,EKONOMI PEMBANGUNAN,UNIVERSITAS SYIAH KUALA,EKONOMI PEMBANGUNAN,UNIVERSITAS SYIAH KUALA,EKONOMI PEMBANGUNAN,564.0,350.0,217.0,810.0,
Tjokrorianto,SMA Santo Peter,UNIVERSITAS SYIAH KUALA,MANAJEMEN,UNIVERSITAS SYIAH KUALA,MANAJEMEN,UNIVERSITAS SYIAH KUALA,MANAJEMEN,333.0,405.0,768.0,409.0,
Anthony Salim,SMA Sultan Syarif Abdurachman,UNIVERSITAS SYIAH KUALA,AKUNTANSI,UNIVERSITAS SYIAH KUALA,AKUNTANSI,UNIVERSITAS SYIAH KUALA,AKUNTANSI,872.0,787.0,555.0,476.0,
Andang Bachtiar,SMA Kesatrian 1,UNIVERSITAS SYIAH KUALA,ILMU HUKUM,UNIVERSITAS SYIAH KUALA,ILMU HUKUM,UNIVERSITAS SYIAH KUALA,ILMU HUKUM,811.0,129.0,134.0,757.0,
Zola Sqputra,SMA Santo Stanislaus,UNIVERSITAS SYIAH KUALA,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,UNIVERSITAS SYIAH KUALA,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,UNIVERSITAS SYIAH KUALA,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,689.0,123.0,506.0,702.0,
Noura Fathia Salama,SMA Dian Kartika,UNIVERSITAS SYIAH KUALA,PENDIDIKAN SEJARAH,UNIVERSITAS SYIAH KUALA,PENDIDIKAN SEJARAH,UNIVERSITAS SYIAH KUALA,PENDIDIKAN SEJARAH,672.0,750.0,168.0,355.0,
James Preston Truesdell,SMA Perguruan Rakyat 3,UNIVERSITAS SYIAH KUALA,PENDIDIKAN EKONOMI,UNIVERSITAS SYIAH KUALA,PENDIDIKAN EKONOMI,UNIVERSITAS SYIAH KUALA,PENDIDIKAN EKONOMI,375.0,432.0,185.0,425.0,
Tjahjono Alim,SMA Negeri 1 Jepara,UNIVERSITAS SYIAH KUALA,PENDIDIKAN GEOGRAFI,UNIVERSITAS SYIAH KUALA,PENDIDIKAN GEOGRAFI,UNIVERSITAS SYIAH KUALA,PENDIDIKAN GEOGRAFI,153.0,765.0,732.0,852.0,
Josef Indra Njoman,SMA Negeri 1 Semanu,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,891.0,810.0,338.0,604.0,
Kitty Joantina Wulanda,SMA Bintang Laut,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BAHASA INGGRIS,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BAHASA INGGRIS,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BAHASA INGGRIS,617.0,710.0,450.0,747.0,
Harris Lasmana,SMAI Nurul Falah,UNIVERSITAS SYIAH KUALA,PENDIDIKAN SENI DRAMA TARI DAN MUSIK,UNIVERSITAS SYIAH KUALA,PENDIDIKAN SENI DRAMA TARI DAN MUSIK,UNIVERSITAS SYIAH KUALA,PENDIDIKAN SENI DRAMA TARI DAN MUSIK,748.0,600.0,436.0,593.0,
Jenny Widjaja,SMA Kusuma Bangsa Palembang,UNIVERSITAS SYIAH KUALA,PENDIDIKAN KESEJAHTERAAN KELUARGA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN KESEJAHTERAAN KELUARGA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN KESEJAHTERAAN KELUARGA,614.0,680.0,113.0,361.0,
Ronny Susanto,SMAI Al Jihad,UNIVERSITAS SYIAH KUALA,PEND. JASMANI KESEHATAN DAN REKREASI,UNIVERSITAS SYIAH KUALA,PEND. JASMANI KESEHATAN DAN REKREASI,UNIVERSITAS SYIAH KUALA,PEND. JASMANI KESEHATAN DAN REKREASI,443.0,312.0,153.0,179.0,
Donny Imam Priambodo,SMA Harapan 1,UNIVERSITAS SYIAH KUALA,BIMBINGAN KONSELING,UNIVERSITAS SYIAH KUALA,BIMBINGAN KONSELING,UNIVERSITAS SYIAH KUALA,BIMBINGAN KONSELING,375.0,846.0,403.0,851.0,
Syamsul Hoiri,SMA Tunas Bangsa,UNIVERSITAS SYIAH KUALA,PENDIDIKAN GURU SEKOLAH DASAR,UNIVERSITAS SYIAH KUALA,PENDIDIKAN GURU SEKOLAH DASAR,UNIVERSITAS SYIAH KUALA,PENDIDIKAN GURU SEKOLAH DASAR,240.0,129.0,507.0,411.0,
Djoni Muchsin,SMA Kristen 2,UNIVERSITAS SYIAH KUALA,PSIKOLOGI,UNIVERSITAS SYIAH KUALA,PSIKOLOGI,UNIVERSITAS SYIAH KUALA,PSIKOLOGI,800.0,702.0,152.0,559.0,
Nauval Rifdan Hananzah,SMA Tarakanita Gading Serpong,UNIVERSITAS SYIAH KUALA,ILMU POLITIK,UNIVERSITAS SYIAH KUALA,ILMU POLITIK,UNIVERSITAS SYIAH KUALA,ILMU POLITIK,425.0,523.0,747.0,354.0,
Roosmiati Handojo,SMA Kr. Petra 5,UNIVERSITAS SYIAH KUALA,SOSIOLOGI,UNIVERSITAS SYIAH KUALA,SOSIOLOGI,UNIVERSITAS SYIAH KUALA,SOSIOLOGI,648.0,623.0,702.0,564.0,
Toddy Mizaabianto Sugoto,SMA Bhakti,UNIVERSITAS SYIAH KUALA,ILMU KOMUNIKASI,UNIVERSITAS SYIAH KUALA,ILMU KOMUNIKASI,UNIVERSITAS SYIAH KUALA,ILMU KOMUNIKASI,682.0,192.0,413.0,445.0,
Tan Lunardi,SMA Negeri 1 Malang,UNIVERSITAS SYIAH KUALA,PENDIDIKAN GURU PAUD,UNIVERSITAS SYIAH KUALA,PENDIDIKAN GURU PAUD,UNIVERSITAS SYIAH KUALA,PENDIDIKAN GURU PAUD,239.0,677.0,834.0,558.0,
Blue Ribbon Holding Ltd,SMA Negeri 3,UNIVERSITAS SYIAH KUALA,ILMU PEMERINTAHAN,UNIVERSITAS SYIAH KUALA,ILMU PEMERINTAHAN,UNIVERSITAS SYIAH KUALA,ILMU PEMERINTAHAN,618.0,434.0,199.0,852.0,
Harry Herjanto,SMA Trinitas,UNIVERSITAS SYIAH KUALA,EKONOMI ISLAM,UNIVERSITAS SYIAH KUALA,EKONOMI ISLAM,UNIVERSITAS SYIAH KUALA,EKONOMI ISLAM,667.0,111.0,277.0,676.0,
Joachim V. Rohn,SMA-IT Al Uswah,UNIVERSITAS SYIAH KUALA,MANAJEMEN (PSDKU GAYO LUES),UNIVERSITAS SYIAH KUALA,MANAJEMEN (PSDKU GAYO LUES),UNIVERSITAS SYIAH KUALA,MANAJEMEN (PSDKU GAYO LUES),220.0,277.0,529.0,732.0,
Hengky Tenacious,SMAK 3 BPK Penabur,UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER HEWAN,UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER HEWAN,UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER HEWAN,701.0,339.0,712.0,346.0,
Hendra Soegiarto,SMA Negeri 1 Magetan,UNIVERSITAS SYIAH KUALA,TEKNIK SIPIL,UNIVERSITAS SYIAH KUALA,TEKNIK SIPIL,UNIVERSITAS SYIAH KUALA,TEKNIK SIPIL,712.0,801.0,235.0,363.0,
Troy Surya Subandi,SMA Katolik Frater Don Bosco,UNIVERSITAS SYIAH KUALA,TEKNIK MESIN,UNIVERSITAS SYIAH KUALA,TEKNIK MESIN,UNIVERSITAS SYIAH KUALA,TEKNIK MESIN,396.0,674.0,385.0,404.0,
Hadi Suginawan & Nurmalasari Suginawan,SMA Negeri 1 Batulayar,UNIVERSITAS SYIAH KUALA,TEKNIK KIMIA,UNIVERSITAS SYIAH KUALA,TEKNIK KIMIA,UNIVERSITAS SYIAH KUALA,TEKNIK KIMIA,295.0,725.0,663.0,847.0,
Angie Christina,SMA Charitas,UNIVERSITAS SYIAH KUALA,ARSITEKTUR,UNIVERSITAS SYIAH KUALA,ARSITEKTUR,UNIVERSITAS SYIAH KUALA,ARSITEKTUR,620.0,453.0,224.0,556.0,
Christina Harapan,SMA Kristen YPKM,UNIVERSITAS SYIAH KUALA,TEKNIK ELEKTRO,UNIVERSITAS SYIAH KUALA,TEKNIK ELEKTRO,UNIVERSITAS SYIAH KUALA,TEKNIK ELEKTRO,754.0,201.0,776.0,118.0,
Jimmy Henricus Kurniawan Laihad,SMA Diakonia,UNIVERSITAS SYIAH KUALA,AGROTEKNOLOGI,UNIVERSITAS SYIAH KUALA,AGROTEKNOLOGI,UNIVERSITAS SYIAH KUALA,AGROTEKNOLOGI,242.0,559.0,669.0,452.0,
Endang Sugiarti,SMA Negeri 1 Warunggunung,UNIVERSITAS SYIAH KUALA,AGRIBISNIS,UNIVERSITAS SYIAH KUALA,AGRIBISNIS,UNIVERSITAS SYIAH KUALA,AGRIBISNIS,103.0,795.0,863.0,109.0,
Irvan Tadarru,SMA Leppesa Cililin,UNIVERSITAS SYIAH KUALA,PETERNAKAN,UNIVERSITAS SYIAH KUALA,PETERNAKAN,UNIVERSITAS SYIAH KUALA,PETERNAKAN,227.0,526.0,430.0,257.0,
Teddy Tjahjono,"SMA Tri Ratna Krukut, Tamansari, Jakarta Barat",UNIVERSITAS SYIAH KUALA,TEKNOLOGI HASIL PERTANIAN,UNIVERSITAS SYIAH KUALA,TEKNOLOGI HASIL PERTANIAN,UNIVERSITAS SYIAH KUALA,TEKNOLOGI HASIL PERTANIAN,174.0,636.0,698.0,579.0,
Achmad Latief Alwy,SMA Bunda Kandung,UNIVERSITAS SYIAH KUALA,TEKNIK PERTANIAN,UNIVERSITAS SYIAH KUALA,TEKNIK PERTANIAN,UNIVERSITAS SYIAH KUALA,TEKNIK PERTANIAN,452.0,566.0,367.0,229.0,
Tigran Timotius Adhiwiyogo,SMA Fidelis Padang,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BIOLOGI,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BIOLOGI,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BIOLOGI,556.0,493.0,672.0,221.0,
Lies Kusumawati,SMA Krida Nusantara,UNIVERSITAS SYIAH KUALA,PENDIDIKAN MATEMATIKA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN MATEMATIKA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN MATEMATIKA,589.0,301.0,422.0,323.0,
Sofian Widagdo,SMA Negeri 1 Gunungsari,UNIVERSITAS SYIAH KUALA,PENDIDIKAN FISIKA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN FISIKA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN FISIKA,608.0,436.0,850.0,285.0,
Reimer Aloan Simorangkir,MA Negeri Magelang,UNIVERSITAS SYIAH KUALA,PENDIDIKAN KIMIA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN KIMIA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN KIMIA,339.0,476.0,867.0,182.0,
Cindy Isadora Manik,SMA Pasundan 8,UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER,UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER,UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER,302.0,520.0,530.0,512.0,
Farid Wajdi Taradita,SMA Purusatama,UNIVERSITAS SYIAH KUALA,ILMU KEPERAWATAN,UNIVERSITAS SYIAH KUALA,ILMU KEPERAWATAN,UNIVERSITAS SYIAH KUALA,ILMU KEPERAWATAN,839.0,320.0,829.0,809.0,
Rusdi Kirana,SMA Negeri 2 Slawi,UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER GIGI,UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER GIGI,UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER GIGI,180.0,404.0,699.0,214.0,
Michael Seabrook,SMA Negeri 44,UNIVERSITAS SYIAH KUALA,MATEMATIKA,UNIVERSITAS SYIAH KUALA,MATEMATIKA,UNIVERSITAS SYIAH KUALA,MATEMATIKA,808.0,531.0,727.0,603.0,
Iwan Samsuddin,SMA Kartini 1,UNIVERSITAS SYIAH KUALA,FISIKA,UNIVERSITAS SYIAH KUALA,FISIKA,UNIVERSITAS SYIAH KUALA,FISIKA,149.0,180.0,339.0,531.0,
Praptono Budhi Haksomo Himawan,SMA Negeri 1 Kayen,UNIVERSITAS SYIAH KUALA,KIMIA,UNIVERSITAS SYIAH KUALA,KIMIA,UNIVERSITAS SYIAH KUALA,KIMIA,848.0,629.0,786.0,354.0,
Rachmat Gobel,SMA Negeri 2 Pekalongan,UNIVERSITAS SYIAH KUALA,BIOLOGI,UNIVERSITAS SYIAH KUALA,BIOLOGI,UNIVERSITAS SYIAH KUALA,BIOLOGI,359.0,327.0,701.0,547.0,
Ahmad Mujaddid,SMA Putra Satria,UNIVERSITAS SYIAH KUALA,ILMU KELAUTAN,UNIVERSITAS SYIAH KUALA,ILMU KELAUTAN,UNIVERSITAS SYIAH KUALA,ILMU KELAUTAN,351.0,365.0,598.0,257.0,
Jurnalis & Ponto Law Firm,SMA Negeri 2 Wonosari,UNIVERSITAS SYIAH KUALA,BUDIDAYA PERAIRAN,UNIVERSITAS SYIAH KUALA,BUDIDAYA PERAIRAN,UNIVERSITAS SYIAH KUALA,BUDIDAYA PERAIRAN,293.0,225.0,389.0,528.0,
Agustinus Prasetio,MAN 1 Sragen,UNIVERSITAS SYIAH KUALA,TEKNIK INDUSTRI,UNIVERSITAS SYIAH KUALA,TEKNIK INDUSTRI,UNIVERSITAS SYIAH KUALA,TEKNIK INDUSTRI,831.0,734.0,152.0,135.0,
Daniel Indra Djajadi,SMA Negeri 1 Purworejo,UNIVERSITAS SYIAH KUALA,INFORMATIKA,UNIVERSITAS SYIAH KUALA,INFORMATIKA,UNIVERSITAS SYIAH KUALA,INFORMATIKA,526.0,298.0,795.0,309.0,
Tunggono,SMA Purnama,UNIVERSITAS SYIAH KUALA,FARMASI,UNIVERSITAS SYIAH KUALA,FARMASI,UNIVERSITAS SYIAH KUALA,FARMASI,545.0,648.0,781.0,423.0,
Hoesen Gunawan,SMA Harapan 1,UNIVERSITAS SYIAH KUALA,TEKNIK GEOFISIKA,UNIVERSITAS SYIAH KUALA,TEKNIK GEOFISIKA,UNIVERSITAS SYIAH KUALA,TEKNIK GEOFISIKA,611.0,243.0,878.0,785.0,
Salim Santoso,SMA Taruna Bumi Khatulistiwa,UNIVERSITAS SYIAH KUALA,TEKNIK PERTAMBANGAN,UNIVERSITAS SYIAH KUALA,TEKNIK PERTAMBANGAN,UNIVERSITAS SYIAH KUALA,TEKNIK PERTAMBANGAN,636.0,716.0,203.0,758.0,
Kurniawan Nurdin Karim,SMA Santo Aloysius,UNIVERSITAS SYIAH KUALA,STATISTIKA,UNIVERSITAS SYIAH KUALA,STATISTIKA,UNIVERSITAS SYIAH KUALA,STATISTIKA,547.0,323.0,208.0,554.0,
Kamlesh Ishwardas,SMA Negeri 1 Maos,UNIVERSITAS SYIAH KUALA,PEMANFAATAN SUMBERDAYA PERIKANAN,UNIVERSITAS SYIAH KUALA,PEMANFAATAN SUMBERDAYA PERIKANAN,UNIVERSITAS SYIAH KUALA,PEMANFAATAN SUMBERDAYA PERIKANAN,817.0,858.0,172.0,783.0,
Sindhu Wibhisono Ongkosoewito,SMA Harnasto Inst.,UNIVERSITAS SYIAH KUALA,ILMU TANAH,UNIVERSITAS SYIAH KUALA,ILMU TANAH,UNIVERSITAS SYIAH KUALA,ILMU TANAH,405.0,432.0,378.0,198.0,
Amin Halim,SMA Negeri 1 Muntilan,UNIVERSITAS SYIAH KUALA,TEKNIK GEOLOGI,UNIVERSITAS SYIAH KUALA,TEKNIK GEOLOGI,UNIVERSITAS SYIAH KUALA,TEKNIK GEOLOGI,895.0,458.0,248.0,462.0,
Anindta Mazaya Gitalalita,SMA YASPI,UNIVERSITAS SYIAH KUALA,AGROTEKNOLOGI (PSDKU GAYO LUES),UNIVERSITAS SYIAH KUALA,AGROTEKNOLOGI (PSDKU GAYO LUES),UNIVERSITAS SYIAH KUALA,AGROTEKNOLOGI (PSDKU GAYO LUES),600.0,142.0,759.0,513.0,
Amalia Aristiningsih,SMA Negeri 2 Purworejo,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BIOLOGI (PDSKU GAYO LUES),UNIVERSITAS SYIAH KUALA,PENDIDIKAN BIOLOGI (PDSKU GAYO LUES),UNIVERSITAS SYIAH KUALA,PENDIDIKAN BIOLOGI (PDSKU GAYO LUES),173.0,500.0,114.0,165.0,
Amelia Kurniawan,SMA Cita Hati 2 Surabaya,UNIVERSITAS SYIAH KUALA,KEHUTANAN (PSDKU GAYO LUES),UNIVERSITAS SYIAH KUALA,KEHUTANAN (PSDKU GAYO LUES),UNIVERSITAS SYIAH KUALA,KEHUTANAN (PSDKU GAYO LUES),175.0,633.0,143.0,422.0,
Hendrik Tanojo,SMA Taruna Nusantara,UNIVERSITAS SYIAH KUALA,PROTEKSI TANAMAN,UNIVERSITAS SYIAH KUALA,PROTEKSI TANAMAN,UNIVERSITAS SYIAH KUALA,PROTEKSI TANAMAN,430.0,486.0,610.0,175.0,
Sigit Iswandi,SMA Abadi,UNIVERSITAS SYIAH KUALA,PERENCANAAN WILAYAH DAN KOTA,UNIVERSITAS SYIAH KUALA,PERENCANAAN WILAYAH DAN KOTA,UNIVERSITAS SYIAH KUALA,PERENCANAAN WILAYAH DAN KOTA,531.0,535.0,816.0,719.0,
Suyono Purnomo,SMA Putra Nirmala,UNIVERSITAS SYIAH KUALA,KEHUTANAN,UNIVERSITAS SYIAH KUALA,KEHUTANAN,UNIVERSITAS SYIAH KUALA,KEHUTANAN,251.0,147.0,862.0,380.0,
Khoe Ay Hwa,MA Negeri 2 Kebumen,UNIVERSITAS SYIAH KUALA,TEKNIK KOMPUTER,UNIVERSITAS SYIAH KUALA,TEKNIK KOMPUTER,UNIVERSITAS SYIAH KUALA,TEKNIK KOMPUTER,281.0,311.0,852.0,761.0,
Devy Prasetyo Yuwono Ang,SMA Negeri 1 Playen,UNIVERSITAS SYIAH KUALA,EKONOMI PEMBANGUNAN,UNIVERSITAS SYIAH KUALA,EKONOMI PEMBANGUNAN,UNIVERSITAS SYIAH KUALA,EKONOMI PEMBANGUNAN,190.0,182.0,458.0,796.0,
Tyrone Kaskam Awan,SMA Muhammadiyah 1 Majenang,UNIVERSITAS SYIAH KUALA,MANAJEMEN,UNIVERSITAS SYIAH KUALA,MANAJEMEN,UNIVERSITAS SYIAH KUALA,MANAJEMEN,140.0,657.0,581.0,238.0,
Psp Group,SMA Katolik WR Soepratman,UNIVERSITAS SYIAH KUALA,AKUNTANSI,UNIVERSITAS SYIAH KUALA,AKUNTANSI,UNIVERSITAS SYIAH KUALA,AKUNTANSI,486.0,268.0,121.0,419.0,
Lauw Samuel Lawrence,SMK Muhammadiyah Ponpes Kudus,UNIVERSITAS SYIAH KUALA,ILMU HUKUM,UNIVERSITAS SYIAH KUALA,ILMU HUKUM,UNIVERSITAS SYIAH KUALA,ILMU HUKUM,135.0,454.0,703.0,577.0,
Honey Angkosubroto,SMA Santa Maria Surabaya,UNIVERSITAS SYIAH KUALA,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,UNIVERSITAS SYIAH KUALA,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,UNIVERSITAS SYIAH KUALA,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,537.0,304.0,609.0,416.0,
Deddy Harijanto Sudarijanto,SMA Santo Carolus,UNIVERSITAS SYIAH KUALA,PENDIDIKAN SEJARAH,UNIVERSITAS SYIAH KUALA,PENDIDIKAN SEJARAH,UNIVERSITAS SYIAH KUALA,PENDIDIKAN SEJARAH,370.0,301.0,692.0,331.0,
Benny Tenges,SMA YAPMI Makassar,UNIVERSITAS SYIAH KUALA,PENDIDIKAN EKONOMI,UNIVERSITAS SYIAH KUALA,PENDIDIKAN EKONOMI,UNIVERSITAS SYIAH KUALA,PENDIDIKAN EKONOMI,186.0,559.0,232.0,128.0,
Mohammad Mas Pendi Soleh,SMA Muh 2 Prambanan,UNIVERSITAS SYIAH KUALA,PENDIDIKAN GEOGRAFI,UNIVERSITAS SYIAH KUALA,PENDIDIKAN GEOGRAFI,UNIVERSITAS SYIAH KUALA,PENDIDIKAN GEOGRAFI,507.0,361.0,434.0,799.0,
Ina Irena Jonas Jahja,SMA Negeri 1 Kroya,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,347.0,686.0,499.0,383.0,
Norbert Alois Meixner,SMA Negeri 21,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BAHASA INGGRIS,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BAHASA INGGRIS,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BAHASA INGGRIS,248.0,693.0,150.0,817.0,
Taufiq Andrian,SMA katolik Santo Yoseph Denpasar,UNIVERSITAS SYIAH KUALA,PENDIDIKAN SENI DRAMA TARI DAN MUSIK,UNIVERSITAS SYIAH KUALA,PENDIDIKAN SENI DRAMA TARI DAN MUSIK,UNIVERSITAS SYIAH KUALA,PENDIDIKAN SENI DRAMA TARI DAN MUSIK,156.0,684.0,699.0,576.0,
Joso Ramli,SMK NURUL ISLAM SLATRI LARANGAN,UNIVERSITAS SYIAH KUALA,PENDIDIKAN KESEJAHTERAAN KELUARGA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN KESEJAHTERAAN KELUARGA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN KESEJAHTERAAN KELUARGA,413.0,832.0,136.0,205.0,
Kim Doo Young,SMA Muh Minggir,UNIVERSITAS SYIAH KUALA,PEND. JASMANI KESEHATAN DAN REKREASI,UNIVERSITAS SYIAH KUALA,PEND. JASMANI KESEHATAN DAN REKREASI,UNIVERSITAS SYIAH KUALA,PEND. JASMANI KESEHATAN DAN REKREASI,750.0,310.0,337.0,474.0,
